country,school,workplace,events,transport,national,international
Aruba,20200316,20200420,20200321,nan,20200321,20200316
Afghanistan,20200302,20200326,20200301,20200327,20200324,nan
Angola,20200324,20200327,20200324,nan,20200327,20200301
United Arab Emirates,20200301,20200325,20200316,20200326,20200326,20200224
Argentina,20200316,20200316,20200313,20200320,20200320,20200316
Australia,20200322,20200324,20200318,nan,20200319,20200201
Austria,20200312,20200316,20200311,nan,20200313,20200309
Burundi,nan,nan,nan,nan,nan,20200320
Belgium,20200314,20200314,20200314,nan,20200318,20200317
Burkina Faso,20200316,20200322,20200312,20200321,20200316,nan
Bangladesh,20200316,20200319,20200319,20200319,20200319,20200331
Bulgaria,20200305,nan,20200313,nan,20200313,20200318
Bahrain,20200225,20200326,20200326,nan,nan,20200224
Belize,20200320,20200323,20200316,nan,nan,20200315
Bermuda,20200321,20200323,20200317,20200320,20200325,20200207
Bolivia,20200313,20200316,20200312,20200316,20200320,20200314
Brazil,20200312,20200317,20200312,20200321,20200317,20200319
Barbados,20200325,20200328,20200317,nan,20200317,nan
Brunei,20200311,nan,20200313,nan,nan,20200130
Botswana,20200320,20200402,20200316,20200402,20200402,20200316
Canada,20200316,20200318,20200312,nan,20200320,20200318
Switzerland,20200313,20200317,20200317,nan,nan,20200313
Chile,20200315,nan,20200316,20200322,20200325,20200318
China,20200126,20200126,20200123,20200123,20200123,20200326
Cameroon,20200318,nan,20200318,nan,nan,20200318
Democratic Republic of Congo,20200319,20200319,20200319,nan,20200318,20200321
Colombia,20200316,20200325,20200317,20200325,20200325,20200323
Costa Rica,20200312,20200310,20200310,20200403,20200324,20200318
Cuba,nan,nan,20200320,nan,20200320,20200320
Czech Republic,20200311,20200314,20200311,20200319,20200316,20200316
Germany,20200316,nan,20200310,nan,20200320,20200316
Denmark,20200313,20200313,20200318,nan,nan,20200311
Dominican Republic,nan,nan,20200318,20200328,20200320,20200316
Algeria,20200312,20200322,20200318,20200322,20200323,20200320
Ecuador,nan,20200317,20200329,20200329,20200322,20200315
Egypt,20200319,20200316,20200319,20200319,20200319,20200319
Spain,20200309,20200314,20200310,nan,20200314,20200310
Finland,20200318,20200316,20200318,nan,20200328,20200319
France,20200316,20200317,20200229,20200316,20200317,20200318
United Kingdom,20200323,20200321,20200321,nan,20200323,nan
Ghana,20200316,nan,20200316,nan,20200330,20200317
Greece,20200305,nan,20200229,nan,20200321,nan
Guatemala,20200315,nan,nan,nan,nan,20200312
Guyana,20200316,20200328,20200403,nan,20200403,20200318
Hong Kong,20200125,20200129,20200126,nan,20200329,20200127
Honduras,20200313,20200401,20200313,20200401,20200319,20200316
Croatia,20200313,20200314,20200318,20200321,20200229,20200319
Hungary,20200311,nan,20200311,nan,20200328,20200309
Indonesia,20200316,20200410,20200303,20200316,nan,20200205
India,20200303,20200325,20200316,20200320,20200322,20200205
Ireland,20200320,20200320,20200320,20200327,nan,nan
Iran,20200222,20200313,20200222,nan,20200305,nan
Iraq,20200225,20200317,20200225,20200313,20200221,20200221
Iceland,20200316,nan,20200324,nan,nan,nan
Israel,20200313,20200318,20200315,20200325,20200320,20200202
Italy,20200223,20200223,20200223,nan,20200221,20200130
Jordan,20200315,20200318,20200318,20200318,20200318,20200310
Japan,nan,nan,nan,nan,nan,20200403
Kazakhstan,20200316,20200330,20200312,20200319,20200319,20200316
Kenya,20200315,nan,20200313,nan,20200326,20200315
South Korea,20200203,20200322,20200131,nan,20200223,20200203
Kuwait,20200301,20200311,20200311,20200312,nan,20200311
Laos,20200317,20200401,20200311,20200329,nan,nan
Lebanon,20200301,20200318,20200318,20200323,20200318,20200312
Sri Lanka,20200313,20200316,20200314,20200323,20200318,20200314
Lesotho,20200318,20200318,20200318,nan,20200318,20200329
